::1 - - [26/May/2024:03:25:57 +1000] "GET /status.txt HTTP/1.1" 304 -
192.168.0.12 - - [26/May/2024:03:31:14 +1000] "GET / HTTP/1.1" 200 758
192.168.0.12 - - [26/May/2024:03:31:14 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:31:14 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:31:15 +1000] "GET /favicon.ico HTTP/1.1" 404 196
192.168.0.12 - - [26/May/2024:03:32:14 +1000] "-" 408 -
192.168.0.12 - - [26/May/2024:03:32:14 +1000] "-" 408 -
192.168.0.12 - - [26/May/2024:03:36:25 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:36:25 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:36:25 +1000] "GET /status.txt HTTP/1.1" 200 23
192.168.0.12 - - [26/May/2024:03:36:34 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:36:35 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:36:35 +1000] "GET /status.txt HTTP/1.1" 200 23
192.168.0.12 - - [26/May/2024:03:36:44 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:36:45 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:36:45 +1000] "GET /status.txt HTTP/1.1" 200 23
192.168.0.12 - - [26/May/2024:03:36:55 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:36:55 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:36:55 +1000] "GET /status.txt HTTP/1.1" 200 21
192.168.0.12 - - [26/May/2024:03:37:05 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:37:05 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:37:05 +1000] "GET /status.txt HTTP/1.1" 200 21
192.168.0.12 - - [26/May/2024:03:37:15 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:37:15 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:37:15 +1000] "GET /status.txt HTTP/1.1" 200 10
192.168.0.12 - - [26/May/2024:03:37:25 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:37:25 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:37:25 +1000] "GET /status.txt HTTP/1.1" 200 -
192.168.0.12 - - [26/May/2024:03:37:35 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:37:35 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:37:35 +1000] "GET /status.txt HTTP/1.1" 200 22
192.168.0.12 - - [26/May/2024:03:37:45 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:37:45 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:37:45 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:37:55 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:37:55 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:37:55 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:38:05 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:38:05 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:38:05 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:38:15 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:38:15 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:38:15 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:38:25 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:38:25 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:38:25 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:38:35 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:38:35 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:38:35 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:38:45 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:38:45 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:38:45 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:38:55 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:38:55 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:38:55 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:39:05 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:39:05 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:39:05 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:39:15 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:39:15 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:39:15 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:39:25 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:39:25 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:39:25 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:39:35 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:39:35 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:39:35 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:39:45 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:39:45 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:39:45 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:39:55 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:39:55 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:39:55 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:40:05 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:40:05 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:40:05 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:40:15 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:40:15 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:40:15 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:40:25 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:40:25 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:40:25 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:40:35 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:40:35 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:40:35 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:40:45 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:40:45 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:40:45 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:40:55 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:40:55 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:40:55 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:41:05 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:41:05 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:41:05 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:41:15 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:41:15 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:41:15 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:41:25 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:41:25 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:41:25 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:41:35 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:41:35 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:41:35 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:41:45 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:41:45 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:41:45 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:41:55 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:41:55 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:41:55 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:42:05 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:42:05 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:42:05 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:42:15 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:42:15 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:42:15 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:42:25 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:42:25 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:42:25 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:42:35 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:42:35 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:42:35 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:42:45 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:42:45 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:42:45 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:42:55 +1000] "GET / HTTP/1.1" 200 767
192.168.0.12 - - [26/May/2024:03:42:55 +1000] "GET /index.js HTTP/1.1" 200 171
192.168.0.12 - - [26/May/2024:03:42:55 +1000] "GET /status.txt HTTP/1.1" 200 16
192.168.0.12 - - [26/May/2024:03:43:05 +1000] "GET / HTTP/1.1" 200 767
